ts_code,sub_code,name,ipo_date,issue_date,amount,market_amount,price,pe,limit_amount,funds,ballot
603125.SH,732125,常青科技,20230328,20230410,4814,3851,25.98,26.32,1.9,12.507,0.04
603135.SH,732135,中重科技,20230327,20230410,9000,6300,17.8,29.01,2.7,16.02,0.05
001328.SZ,001328,登康口腔,20230327,20230410,4304,3443,20.68,34.0,1.7,8.901,0.03
688484.SH,787484,南芯科技,20230324,20230407,6353,1670,39.99,71.56,1.05,25.406,0.05
301281.SZ,301281,科源制药,20230324,20230404,1935,938,44.18,42.83,0.55,8.549,0.02
688535.SH,787535,华海诚科,20230324,20230404,2018,690,35.0,69.08,0.5,7.063,0.04
688343.SH,787343,云天励飞,20230324,20230404,8878,2281,43.92,0.0,1.45,38.994,0.05
301203.SZ,301203,国泰环保,20230324,20230404,2000,870,46.13,29.3,0.5,9.226,0.02
301141.SZ,301141,中科磁业,20230323,20230403,2215,993,41.2,44.7,0.55,9.126,0.02
688531.SH,787531,日联科技,20230322,20230331,1985,692,152.38,267.32,0.5,30.25,0.05
872895.BJ,889880,花溪科技,20230321,20230406,1400,1120,6.6,13.96,66.5,0.924,1.99
834261.BJ,889710,一诺威,20230320,20230403,2993,1078,10.81,13.99,70.34,3.236,3.35
301314.SZ,301314,科瑞思,20230317,20230328,1063,1063,63.78,22.61,1.05,6.777,0.01
301386.SZ,301386,未来电器,20230317,20230329,3500,1698,29.99,52.14,0.95,10.496,0.02
603162.SH,732162,海通发展,20230317,20230329,4128,3715,37.25,22.99,1.2,15.375,0.05
600925.SH,730925,苏能股份,20230317,20230329,68889,62000,6.18,22.49,20.6,42.573,0.24
603291.SH,732291,联合水务,20230316,20230327,4232,3809,5.86,22.96,1.2,2.48,0.05
839792.BJ,889210,东和新材,20230315,20230330,2000,1600,8.68,16.58,95.0,1.736,3.62
830809.BJ,889809,安达科技,20230313,20230323,5000,1250,13.0,34.06,87.5,6.5,1.03
603065.SH,732065,宿迁联盛,20230310,20230321,4190,3771,12.85,22.99,1.2,5.384,0.05
301439.SZ,301439,泓淋电力,20230308,20230317,9728,4718,19.99,51.84,2.75,19.446,0.03
301345.SZ,301345,涛涛车业,20230308,20230321,2733,1203,73.45,35.78,0.65,20.077,0.02
301246.SZ,301246,宏源药业,20230308,20230320,4726,1843,50.0,41.21,0.85,23.629,0.03
603073.SH,732073,彩蝶实业,20230307,20230316,2900,2610,19.85,22.99,1.1,5.756,0.03
430556.BJ,889889,雅达股份,20230306,20230317,3600,2880,3.7,13.68,171.0,1.332,0.2
301378.SZ,301378,通达海,20230303,20230320,1150,1150,95.0,48.09,1.15,10.925,0.01
833575.BJ,889303,康乐卫士,20230303,20230315,700,560,42.0,0.0,33.25,2.94,2.94
603282.SH,732282,亚光股份,20230303,20230315,3350,3015,18.0,14.75,1.3,6.03,0.03
835857.BJ,889900,百甲科技,20230302,20230314,3780,3024,4.0,16.0,179.55,1.512,0.87
837663.BJ,889006,明阳科技,20230301,20230315,1290,1032,11.88,16.99,61.27,1.533,0.23
603153.SH,732153,上海建科,20230301,20230313,5500,4950,11.47,22.99,1.6,6.309,0.05
001368.SZ,001368,通达创智,20230301,20230313,2800,2520,25.13,22.99,1.1,7.036,0.03
301157.SZ,301157,华塑科技,20230227,20230309,1500,728,56.5,63.48,0.4,8.475,0.02
601121.SH,780121,宝地矿业,20230227,20230310,20000,18000,4.38,17.51,6.0,8.76,0.1
872541.BJ,889109,铁大科技,20230224,20230310,3000,2400,3.38,15.99,142.5,1.014,0.19
688502.SH,787502,茂莱光学,20230224,20230309,1320,503,69.72,84.8,0.35,9.203,0.04
830974.BJ,889974,凯大催化,20230223,20230308,1150,800,6.26,17.04,47.5,0.72,0.21
301322.SZ,301322,绿通科技,20230223,20230306,1749,848,131.11,73.75,0.45,22.931,0.02
001366.SZ,001366,播恩集团,20230222,20230307,4035,3632,9.32,22.97,1.6,3.761,0.03
001337.SZ,001337,四川黄金,20230222,20230303,6000,5400,7.09,22.98,1.8,4.254,0.04
001278.SZ,001278,一彬科技,20230221,20230308,3093,2784,17.0,22.98,1.2,5.259,0.03
603061.SH,732061,金海通,20230220,20230303,1500,1500,58.58,22.99,1.5,8.787,0.02
301408.SZ,301408,华人健康,20230220,20230301,6001,2340,16.24,106.19,1.1,9.746,0.03
688522.SH,787522,纳睿雷达,20230220,20230301,3867,1476,46.68,86.77,1.1,18.05,0.04
836422.BJ,889366,润普食品,20230217,20230301,2029,1600,8.5,10.35,95.0,1.725,0.33
834770.BJ,889883,艾能聚,20230215,20230228,2300,1600,5.98,16.38,95.0,1.375,0.29
001311.SZ,001311,多利科技,20230214,20230227,3533,3180,61.87,22.99,1.4,21.861,0.03
430478.BJ,889478,峆一药业,20230213,20230223,1012,704,12.62,16.54,41.8,1.277,0.2
831906.BJ,889688,舜宇精工,20230210,20230222,920,640,11.0,17.22,38.0,1.012,0.28
301303.SZ,301303,真兰仪表,20230209,20230220,7300,3541,26.8,43.06,2.05,19.564,0.03
001225.SZ,001225,和泰机电,20230208,20230222,1617,1617,46.81,22.99,1.6,7.568,0.01
688486.SH,787486,龙迅股份,20230208,20230221,1731,597,64.76,63.14,0.4,11.213,0.04
603190.SH,732190,亚通精工,20230208,20230217,3000,2700,29.09,22.99,1.2,8.727,0.03
839273.BJ,889588,一致魔芋,20230207,20230221,1553,1080,11.38,16.43,64.12,1.767,0.29
001260.SZ,001260,坤泰股份,20230207,20230216,2875,2588,14.27,22.98,1.15,4.103,0.03
603307.SH,732307,扬州金泉,20230207,20230216,1675,1675,31.04,21.61,1.6,5.199,0.02
832149.BJ,889888,利尔达,20230206,20230217,2277,1584,5.0,12.38,94.05,1.139,0.68
688307.SH,787307,中润光学,20230206,20230216,2200,752,23.88,65.36,0.55,5.254,0.04
834407.BJ,889407,驰诚股份,20230202,20230216,1150,800,5.87,16.36,47.5,0.675,0.16
873167.BJ,889978,新赣江,20230131,20230209,1964,1366,9.45,16.15,81.1,1.856,1.06
001314.SZ,001314,亿道信息,20230131,20230214,3511,3160,35.0,22.84,1.4,12.289,0.03
301419.SZ,301419,阿莱德,20230131,20230209,2500,1213,24.8,35.44,0.7,6.2,0.02
301358.SZ,301358,湖南裕能,20230130,20230209,18931,5301,23.77,15.13,2.65,45.0,0.04
688515.SH,787515,裕太微,20230130,20230210,2000,574,92.0,0.0,0.35,18.4,0.04
301373.SZ,301373,凌玮科技,20230118,20230208,2712,1225,33.73,47.69,0.65,9.148,0.03
301260.SZ,301260,格力博,20230118,20230208,12154,4740,30.85,63.45,2.3,37.495,0.04
832802.BJ,889802,保丽洁,20230116,20230206,1098,764,7.95,14.61,45.36,0.873,4.15
601059.SH,780059,信达证券,20230116,20230201,32430,29187,8.25,22.97,9.7,26.755,0.15
603281.SH,732281,江瀚新材,20230113,20230131,6667,6000,35.59,14.8,2.6,23.727,0.06
430425.BJ,889098,乐创技术,20230112,20230130,1019,720,12.8,14.51,42.75,1.305,5.25
832023.BJ,889158,田野股份,20230111,20230202,5730,2500,3.6,19.89,162.5,2.063,3.26
603173.SH,732173,福斯达,20230110,20230130,4000,3600,18.65,22.99,1.6,7.46,0.04
688435.SH,787435,英方软件,20230110,20230119,2095,718,38.66,118.63,0.5,8.098,0.04
301317.SZ,301317,鑫磊股份,20230110,20230119,3930,1906,20.67,58.65,1.1,8.123,0.03
688485.SH,787485,九州一轨,20230109,20230118,3757,1293,17.47,40.65,0.95,6.564,0.04
873152.BJ,889677,天宏锂电,20230106,20230119,2188,1522,6.0,15.59,90.37,1.313,1.53
839371.BJ,889918,欧福蛋业,20230105,20230118,5175,3600,2.5,24.09,213.75,1.294,0.44
834950.BJ,889115,迅安科技,20221227,20230111,1085,868,13.0,10.91,51.53,1.411,11.69
688506.SH,787506,百利天恒,20221226,20230106,4010,1030,24.7,0.0,0.65,9.905,0.05
872392.BJ,889518,佳合科技,20221221,20221230,1500,1200,8.0,13.12,71.25,1.2,14.07
688525.SH,787525,佰维存储,20221221,20221230,4303,1097,13.99,50.91,0.7,6.02,0.05
301297.SZ,301297,富乐德,20221221,20221230,8460,3510,8.48,35.9,2.0,7.174,0.03
301105.SZ,301105,鸿铭股份,20221220,20221230,1250,1250,40.5,33.0,1.25,5.062,0.02
838262.BJ,889828,太湖雪,20221220,20221230,800,640,15.0,17.36,38.0,1.2,19.49
831195.BJ,889566,三祥科技,20221220,20221230,1423,1138,11.0,18.71,67.59,1.565,22.66
831855.BJ,889199,浙江大农,20221219,20221229,1868,1495,7.5,14.48,88.74,1.401,12.5
872351.BJ,889008,华光源海,20221219,20221229,2278,1823,8.0,19.41,108.22,1.823,23.41
688496.SH,787496,清越科技,20221219,20221228,9000,2356,9.16,121.49,1.5,8.244,0.05
001301.SZ,001301,尚太科技,20221219,20221228,6494,5845,33.88,16.28,2.55,22.003,0.04
838227.BJ,889989,美登科技,20221216,20221228,800,640,25.0,21.59,38.0,2.0,11.67
688475.SH,787475,萤石网络,20221216,20221228,11250,2465,28.77,40.8,1.55,32.366,0.05
301301.SZ,301301,川宁生物,20221216,20221227,22280,8689,5.0,61.5,4.2,11.14,0.05
873001.BJ,889001,纬达光电,20221215,20221227,3841,3073,8.52,19.87,182.46,3.273,10.38
688410.SH,787410,山外山,20221215,20221226,3619,1379,32.3,297.74,1.0,11.689,0.04
301280.SZ,301280,珠城科技,20221215,20221226,1628,727,67.4,33.39,0.4,10.975,0.02
833781.BJ,889172,瑞奇智造,20221214,20221226,2928,2342,7.93,23.06,139.08,2.322,8.72
688147.SH,787147,微导纳米,20221214,20221223,4545,1169,24.21,412.24,0.75,11.002,0.04
688141.SH,787141,杰华特,20221214,20221223,5808,1476,38.26,125.6,0.95,22.221,0.05
836247.BJ,889767,华密新材,20221213,20221223,2331,1864,8.0,15.23,110.7,1.864,7.01
872190.BJ,889919,雷神科技,20221213,20221223,1250,1000,25.0,21.54,59.37,3.125,14.53
601136.SH,780136,首创证券,20221213,20221222,27333,24600,7.07,22.98,8.2,19.325,0.13
301255.SZ,301255,通力科技,20221212,20221227,1700,1700,37.02,31.47,1.7,6.293,0.02
831526.BJ,889058,凯华材料,20221212,20221222,2070,1440,4.0,17.21,85.5,0.828,0.23
430718.BJ,889718,合肥高科,20221212,20221222,2267,1813,6.5,15.96,107.66,1.473,3.6
688498.SH,787498,源杰科技,20221212,20221221,1500,515,100.66,69.26,0.35,15.099,0.04
873305.BJ,889990,九菱科技,20221209,20221221,1120,896,11.72,17.35,53.2,1.313,3.82
836807.BJ,889807,奔朗新材,20221208,20221220,4547,3638,7.0,14.81,215.98,3.183,9.57
830879.BJ,889010,基康仪器,20221208,20221220,1300,1040,6.5,19.07,61.75,0.845,0.63
688172.SH,787172,燕东微,20221207,20221216,17987,3777,21.98,68.39,2.5,39.534,0.05
838810.BJ,889333,春光药装,20221207,20221216,1600,1280,10.0,20.59,76.0,1.6,2.36
834033.BJ,889077,康普化学,20221206,20221221,1725,1200,14.77,27.8,71.25,2.548,0.59
870508.BJ,889818,丰安股份,20221206,20221216,1556,1245,10.0,20.26,73.91,1.556,6.29
301398.SZ,301398,星源卓镁,20221206,20221215,2000,886,34.4,59.74,0.5,6.88,0.02
301265.SZ,301265,华新环保,20221206,20221216,7575,3674,13.28,26.88,2.15,10.06,0.03
833171.BJ,889987,国航远洋,20221205,20221215,11100,7770,5.2,7.99,471.75,5.772,9.59
301368.SZ,301368,丰立智能,20221205,20221215,3010,1336,22.33,45.71,0.75,6.721,0.02
833429.BJ,889686,康比特,20221202,20221215,2049,1639,8.0,20.71,97.32,1.639,1.84
836957.BJ,889068,汉维科技,20221202,20221214,1557,1246,6.5,23.67,73.96,1.012,1.09
833075.BJ,889388,柏星龙,20221201,20221214,1296,1037,11.8,20.92,61.57,1.53,3.77
001223.SZ,001223,欧克科技,20221201,20221212,1668,1668,65.58,22.99,1.65,10.939,0.01
834014.BJ,889014,特瑞斯,20221201,20221213,2100,1736,16.18,24.13,102.54,3.398,9.49
688503.SH,787503,聚和材料,20221130,20221209,2800,963,110.0,50.32,0.7,30.8,0.04
870866.BJ,889009,绿亨科技,20221129,20221209,4050,3240,8.0,25.5,192.35,3.24,7.69
688420.SH,787420,美腾科技,20221129,20221209,2211,842,48.96,60.26,0.6,10.825,0.04
688084.SH,787084,晶品特装,20221129,20221208,1900,724,60.98,80.64,0.5,11.586,0.04
836414.BJ,889998,欧普泰,20221129,20221212,600,240,24.98,28.01,14.1,1.499,0.53
688143.SH,787143,长盈通,20221129,20221212,2353,801,35.67,48.61,0.6,8.394,0.03
836942.BJ,889698,恒立钻具,20221128,20221208,1400,1120,14.2,18.93,66.5,1.988,7.41
601022.SH,780022,宁波远洋,20221128,20221208,13086,11778,8.22,22.97,3.9,10.757,0.08
001333.SZ,001333,光华股份,20221128,20221208,3200,2880,27.76,22.2,1.25,8.883,0.03
430300.BJ,889300,辰光医疗,20221125,20221207,1725,1200,6.0,24.94,71.25,1.035,0.38
831087.BJ,889969,秋乐种业,20221125,20221207,3304,2643,6.0,29.38,156.94,1.982,2.02
832110.BJ,889088,雷特科技,20221124,20221206,600,480,20.0,19.68,28.5,1.2,1.56
833230.BJ,889996,欧康医药,20221124,20221209,1809,1488,12.8,24.22,87.98,2.315,3.03
688489.SH,787489,三未信安,20221123,20221202,1914,658,78.89,83.82,0.45,15.1,0.04
301391.SZ,301391,卡莱特,20221122,20221201,1700,753,96.0,63.58,0.4,16.32,0.02
001256.SZ,001256,炜冈科技,20221122,20221205,3565,3209,13.64,22.99,1.4,4.863,0.03
870199.BJ,889166,倍益康,20221121,20221201,1130,904,31.8,19.83,53.67,3.593,2.97
831641.BJ,889198,格利尔,20221121,20221202,1208,840,9.6,23.82,49.87,1.159,0.43
301290.SZ,301290,东星医疗,20221121,20221130,2504,1117,44.09,42.75,0.6,11.042,0.02
301311.SZ,301311,昆船智能,20221121,20221130,6000,2910,13.88,36.51,1.7,8.328,0.03
872374.BJ,889999,云里物里,20221117,20221129,1150,920,10.0,19.0,54.62,1.15,0.89
688480.SH,787480,赛恩斯,20221116,20221125,2371,806,19.18,48.09,0.6,4.547,0.04
835237.BJ,889816,力佳科技,20221115,20221125,1000,800,18.18,21.7,47.5,1.818,1.25
832662.BJ,889988,方盛股份,20221114,20221128,2415,1680,6.5,16.67,99.75,1.57,0.25
871634.BJ,889634,新威凌,20221114,20221124,1128,902,9.6,21.48,53.58,1.083,1.55
301165.SZ,301165,锐捷网络,20221110,20221121,6818,2388,32.38,44.97,1.15,22.077,0.03
301365.SZ,301365,矩阵股份,20221110,20221122,3000,1455,34.72,19.22,0.85,10.416,0.02
301335.SZ,301335,天元宠物,20221109,20221118,2250,1091,49.98,46.72,0.6,11.245,0.02
301377.SZ,301377,鼎泰高科,20221109,20221122,5000,1950,22.88,42.24,0.95,11.44,0.03
603130.SH,732130,云中马,20221109,20221118,3500,3150,19.72,22.99,1.4,6.902,0.04
870357.BJ,889357,雅葆轩,20221108,20221118,1360,1088,14.0,19.24,64.6,1.904,0.97
688376.SH,787376,美埃科技,20221108,20221118,3360,1280,29.19,37.06,0.95,9.808,0.04
301277.SZ,301277,新天地,20221107,20221116,3336,1618,27.0,31.81,0.95,9.007,0.02
873339.BJ,889339,恒太照明,20221107,20221117,2220,1883,6.28,15.01,110.8,1.394,0.57
688362.SH,787362,甬矽电子,20221107,20221116,6000,1440,18.54,25.83,0.95,11.124,0.04
301361.SZ,301361,众智科技,20221104,20221116,2908,1411,26.44,46.94,0.8,7.69,0.02
872808.BJ,889568,曙光数创,20221103,20221118,902,632,28.8,26.02,37.52,2.598,0.82
301396.SZ,301396,宏景科技,20221102,20221111,2284,1108,40.13,45.12,0.65,9.168,0.02
001338.SZ,001338,永顺泰,20221102,20221116,12543,11289,6.82,22.98,3.75,8.555,0.06
301356.SZ,301356,天振股份,20221101,20221114,3000,1450,63.0,24.76,0.85,18.9,0.02
688432.SH,787432,有研硅,20221101,20221110,18714,4086,9.91,91.53,2.6,18.546,0.05
833914.BJ,889111,远航精密,20221031,20221111,2500,2000,16.2,19.99,118.75,4.05,3.34
301359.SZ,301359,东南电子,20221031,20221109,2146,1041,20.84,32.54,0.6,4.472,0.02
832876.BJ,889288,慧为智能,20221027,20221109,1630,1316,8.0,19.33,77.74,1.304,0.63
688419.SH,787419,耐科装备,20221027,20221107,2050,779,37.85,68.87,0.55,7.759,0.04
603280.SH,732280,南方路机,20221027,20221108,2710,2439,23.75,18.37,1.0,6.437,0.04
301267.SZ,301267,华厦眼科,20221024,20221107,6000,2340,50.88,59.86,1.1,30.528,0.03
301388.SZ,301388,欣灵电气,20221024,20221109,2561,1242,25.88,37.86,0.7,6.628,0.02
301230.SZ,301230,泓博医药,20221019,20221101,1925,837,40.0,43.78,0.45,7.7,0.02
301367.SZ,301367,怡和嘉业,20221019,20221101,1600,776,119.88,56.75,0.45,19.181,0.02
001299.SZ,001299,美能能源,20221018,20221031,4690,4221,10.69,20.42,1.85,5.014,0.03
001298.SZ,001298,好上好,20221018,20221031,2400,2160,35.32,18.26,0.95,8.477,0.03
301379.SZ,301379,天山电子,20221017,20221101,2534,1229,31.51,37.53,0.7,7.985,0.02
688372.SH,787372,伟测科技,20221017,20221026,2180,744,61.49,42.03,0.55,13.406,0.04
688426.SH,787426,康为世纪,20221014,20221025,2329,803,48.98,40.8,0.55,11.408,0.04
301389.SZ,301389,隆扬电子,20221014,20221031,7088,3437,22.5,33.63,2.0,15.947,0.03
688152.SH,787152,麒麟信安,20221014,20221028,1321,455,68.89,41.78,0.3,9.101,0.04
001322.SZ,001322,箭牌家居,20221014,20221026,9661,8695,12.68,22.99,2.85,12.25,0.05
688291.SH,787291,金橙子,20221013,20221026,2567,975,26.77,53.18,0.7,6.871,0.04
871753.BJ,889778,天纺标,20221011,20221031,1300,1040,10.0,23.84,61.75,1.3,0.74
301223.SZ,301223,中荣股份,20221011,20221026,4830,2343,26.28,25.16,1.35,12.693,0.03
873527.BJ,889090,夜光明,20221010,20221027,1349,1079,10.99,21.56,64.09,1.483,1.5
603151.SH,732151,邦基科技,20221010,20221019,4200,3780,17.95,22.98,1.6,7.539,0.04
688244.SH,787244,永信至诚,20221010,20221019,1171,398,49.19,63.0,0.25,5.759,0.05
001300.SZ,001300,三柏硕,20221010,20221019,6094,5485,11.17,22.98,2.4,6.807,0.04
301380.SZ,301380,挖金客,20220930,20221025,1700,1700,34.78,40.22,1.7,5.913,0.02
688031.SH,787031,星环科技,20220930,20221018,3021,795,47.34,0.0,0.5,14.302,0.05
688061.SH,787061,灿瑞科技,20220930,20221018,1928,703,112.69,77.97,0.5,21.723,0.05
301273.SZ,301273,瑞晨环保,20220930,20221025,1791,869,37.89,36.22,0.5,6.786,0.02
301299.SZ,301299,卓创资讯,20220928,20221019,1500,1500,29.99,38.78,1.5,4.498,0.02
835892.BJ,889089,中科美菱,20220927,20221018,2418,1935,16.0,24.79,114.86,3.869,6.79
301316.SZ,301316,慧博云通,20220927,20221013,4001,1413,7.6,50.5,0.65,3.041,0.03
837046.BJ,889046,亿能电力,20220926,20221013,1725,1200,5.0,13.55,71.25,0.863,0.24
430476.BJ,889100,海能技术,20220926,20221014,1000,800,10.88,24.98,47.5,1.088,1.02
688459.SH,787459,哈铁科技,20220926,20221012,12000,2553,13.58,59.71,1.65,16.296,0.05
301363.SZ,301363,美好医疗,20220926,20221012,4427,1558,30.66,41.18,0.75,13.573,0.03
603052.SH,732052,可川科技,20220923,20221011,1720,1720,34.68,22.99,1.7,5.965,0.02
688073.SH,787073,毕得医药,20220923,20221011,1623,553,88.0,63.56,0.4,14.282,0.04
430139.BJ,889139,华岭股份,20220923,20221028,4000,1600,13.5,54.36,94.0,5.4,1.9
603163.SH,732163,圣晖集成,20220923,20221013,2000,2000,27.25,17.64,2.0,5.45,0.02
688409.SH,787409,富创精密,20220922,20221010,5226,1722,69.99,195.49,1.25,36.579,0.05
001269.SZ,001269,欧晶科技,20220921,20220930,3436,3092,15.65,17.03,1.35,5.377,0.03
430685.BJ,889977,新芝生物,20220920,20221010,2493,1775,15.0,31.25,105.4,3.739,4.97
688137.SH,787137,近岸蛋白,20220920,20220929,1754,670,106.19,50.06,0.5,18.63,0.04
301313.SZ,301313,凡拓数创,20220920,20220930,2558,1241,25.25,39.61,0.7,6.46,0.02
301319.SZ,301319,唯特偶,20220920,20220929,1466,711,47.75,36.33,0.4,7.0,0.02
001255.SZ,001255,博菲电气,20220920,20220930,2000,2000,19.77,22.99,2.0,3.954,0.01
688275.SH,787275,万润新能,20220919,20220929,2130,742,299.88,75.25,0.5,63.886,0.04
301176.SZ,301176,逸豪新材,20220919,20220928,4227,1891,23.88,26.26,1.05,10.093,0.02
838402.BJ,889555,硅烷科技,20220919,20220928,8997,1643,5.66,27.79,113.44,5.092,0.34
301285.SZ,301285,鸿日达,20220919,20220928,5167,2506,14.6,52.86,1.45,7.544,0.02
838971.BJ,889188,天马新材,20220916,20220927,1441,1153,21.38,24.99,68.43,3.08,1.98
688252.SH,787252,天德钰,20220916,20220927,4056,1050,21.68,27.14,0.65,8.792,0.04
688392.SH,787392,骄成超声,20220915,20220927,2050,705,71.18,94.98,0.5,14.592,0.04
688387.SH,787387,信科移动,20220915,20220926,68375,14408,6.05,0.0,19.8,41.367,0.12
301366.SZ,301366,一博科技,20220915,20220926,2083,919,65.35,38.2,0.5,13.615,0.02
603057.SH,732057,紫燕食品,20220915,20220926,4200,3780,15.15,22.99,1.2,6.363,0.04
688132.SH,787132,邦彦技术,20220914,20220923,3806,1319,28.88,76.54,0.95,10.991,0.04
301227.SZ,301227,森鹰窗业,20220914,20220926,2370,1048,38.25,34.26,0.6,9.065,0.02
835207.BJ,889898,众诚科技,20220913,20220923,1840,1280,7.0,20.5,76.0,1.288,0.6
873122.BJ,889991,中纺标,20220913,20220927,1064,740,8.0,23.84,43.93,0.851,0.59
301369.SZ,301369,联动科技,20220909,20220922,1160,1160,96.58,35.76,1.15,11.203,0.01
688428.SH,787428,诺诚健华,20220909,20220921,26465,7187,11.03,0.0,4.75,29.191,0.06
688448.SH,787448,磁谷科技,20220908,20220921,1782,677,32.9,50.65,0.5,5.861,0.03
001332.SZ,001332,锡装股份,20220907,20220920,2000,2000,59.9,21.28,2.0,11.98,0.01
301326.SZ,301326,捷邦科技,20220907,20220921,1810,799,51.72,43.7,0.45,9.361,0.02
001238.SZ,001238,浙江正特,20220907,20220919,2750,2475,16.05,22.98,1.1,4.414,0.02
688035.SH,787035,德邦科技,20220907,20220919,3556,1215,46.12,103.48,0.9,16.4,0.03
688184.SH,787184,帕瓦股份,20220907,20220919,3359,1091,51.88,93.68,0.8,17.429,0.03
301331.SZ,301331,恩威医药,20220906,20220921,1754,1754,29.8,24.72,1.75,5.227,0.01
301327.SZ,301327,华宝新能,20220906,20220919,2454,1190,237.5,84.6,0.65,58.286,0.02
301309.SZ,301309,万得凯,20220906,20220919,2500,1213,39.0,38.06,0.7,9.75,0.02
688455.SH,787455,科捷智能,20220905,20220915,4521,1556,21.88,57.41,1.15,9.892,0.04
301161.SZ,301161,唯万密封,20220902,20220914,3000,1325,18.66,39.92,0.75,5.598,0.02
688391.SH,787391,钜泉科技,20220901,20220913,1440,495,115.0,66.84,0.35,16.56,0.04
301205.SZ,301205,联特科技,20220831,20220913,1802,1802,40.37,28.93,1.8,7.275,0.01
301339.SZ,301339,通行宝,20220831,20220909,6000,2340,18.78,46.68,1.1,11.268,0.03
688114.SH,787114,华大智造,20220831,20220909,4132,998,87.18,73.05,0.65,36.022,0.04
603182.SH,732182,嘉华股份,20220831,20220909,4114,3703,10.55,22.98,1.6,4.34,0.03
301276.SZ,301276,嘉曼服饰,20220830,20220909,2700,1310,40.66,25.15,0.75,10.978,0.02
001331.SZ,001331,胜通能源,20220830,20220908,3000,2700,26.78,19.93,1.2,8.034,0.02
301231.SZ,301231,荣信文化,20220829,20220908,2110,1023,25.49,59.29,0.6,5.378,0.02
301328.SZ,301328,维峰电子,20220826,20220908,1832,816,78.8,60.38,0.45,14.436,0.02
301349.SZ,301349,信德新材,20220826,20220909,1700,825,138.88,78.39,0.45,23.61,0.02
001283.SZ,001283,豪鹏科技,20220824,20220905,2000,2000,52.19,22.99,2.0,10.438,0.01
836270.BJ,889966,天铭科技,20220824,20220902,1000,800,18.96,24.24,47.5,1.896,1.41
688293.SH,787293,奥浦迈,20220824,20220902,2050,700,80.2,132.72,0.5,16.437,0.03
301283.SZ,301283,聚胶股份,20220824,20220902,2000,970,52.69,80.65,0.55,10.538,0.02
301296.SZ,301296,新巨丰,20220824,20220902,6300,2457,18.19,51.87,1.15,11.46,0.03
839790.BJ,889790,联迪信息,20220823,20220902,1566,1279,8.0,24.26,75.67,1.253,1.12
831152.BJ,889066,昆工科技,20220822,20220901,3009,2093,5.8,22.15,124.29,1.745,0.42
603237.SH,732237,五芳斋,20220822,20220831,2519,2267,34.32,22.99,1.0,8.644,0.03
836395.BJ,889868,朗鸿科技,20220822,20220901,710,568,17.0,16.31,33.72,1.207,0.73
688351.SH,787351,微电生理,20220819,20220831,7060,1859,16.51,0.0,1.2,11.656,0.04
301115.SZ,301115,建科股份,20220819,20220831,4500,2043,42.05,49.22,1.15,18.922,0.02
688416.SH,787416,恒烁股份,20220818,20220829,2066,715,65.11,40.7,0.5,13.452,0.03
001259.SZ,001259,利仁科技,20220817,20220831,1848,1848,19.75,22.99,1.8,3.651,0.01
688439.SH,787439,振华风光,20220817,20220826,5000,1723,66.99,75.12,1.25,33.495,0.03
301270.SZ,301270,汉仪股份,20220817,20220831,2500,1001,25.68,44.32,0.6,6.42,0.02
301152.SZ,301152,天力锂能,20220817,20220829,3050,1336,57.0,64.18,0.75,17.385,0.02
688247.SH,787247,宣泰医药,20220816,20220825,4534,1292,9.37,48.56,0.85,4.248,0.03
301282.SZ,301282,金禄电子,20220816,20220826,3779,1833,30.38,49.08,1.05,11.481,0.02
301209.SZ,301209,联合化学,20220815,20220825,2000,2000,14.95,18.93,2.0,2.99,0.01
688370.SH,787370,丛麟科技,20220815,20220825,2661,926,59.76,36.44,0.65,15.9,0.03
688381.SH,787381,帝奥微,20220811,20220823,6305,2204,41.68,67.1,1.6,26.279,0.04
688271.SH,787271,联影医疗,20220810,20220822,10000,1500,109.88,77.69,1.0,109.88,0.04
001330.SZ,001330,博纳影业,20220809,20220818,27490,24741,5.03,22.99,8.2,13.828,0.09
001231.SZ,001231,农心科技,20220809,20220819,2500,2250,17.77,22.99,1.0,4.442,0.02
603255.SH,732255,鼎际得,20220809,20220818,3337,3003,21.88,22.99,1.3,7.301,0.03
831834.BJ,889099,三维股份,20220808,20220822,3000,2458,5.2,16.21,145.39,1.56,0.63
688403.SH,787403,汇成股份,20220808,20220818,16697,3560,8.88,78.92,2.3,14.827,0.04
688401.SH,787401,路维光电,20220808,20220817,3333,1148,25.08,70.31,0.85,8.36,0.03
301330.SZ,301330,熵基科技,20220808,20220817,3712,1649,43.32,43.44,0.9,16.082,0.02
301171.SZ,301171,易点天下,20220808,20220819,7550,2945,18.18,34.23,1.4,13.726,0.03
301300.SZ,301300,远翔新材,20220805,20220819,1605,778,36.15,32.06,0.45,5.802,0.02
688203.SH,787203,海正生材,20220805,20220816,5067,1927,16.68,100.18,1.4,8.452,0.04
688292.SH,787292,浩瀚深度,20220805,20220818,3929,1363,16.56,48.67,1.0,6.506,0.03
001339.SZ,001339,智微智能,20220804,20220815,6175,5558,16.86,22.99,2.45,10.411,0.03
301338.SZ,301338,凯格精机,20220804,20220816,1900,836,46.33,34.67,0.45,8.803,0.02
688041.SH,787041,海光信息,20220803,20220812,30000,6318,36.0,315.18,4.2,108.0,0.06
001222.SZ,001222,源飞宠物,20220803,20220818,3410,3069,13.71,14.73,1.35,4.675,0.03
